"","horse_id","horse_name","cluster"
"1",1,"Sounds Delicious",3
"2",2,"Crimson Frost",4
"3",3,"Friend of Liberty",7
"4",4,"Bobby's Song",3
"5",5,"Bourbon N Rye",4
"6",6,"Bourbon Did It",7
"7",7,"Tenency",4
"8",8,"Legion Storm",6
"9",9,"Frost's Song",3
"10",10,"Kavansberg",1
"11",11,"Tammany Giant",3
"12",12,"Call It a Truce",4
"13",13,"Annette's Humor",4
"14",14,"Rose of Dublin",7
"15",15,"Caralicious",7
"16",16,"Big Brown Cat",5
"17",17,"Dontcallmefrancis",7
"18",18,"Ladyberg",4
"19",19,"T J's Rose Ella",6
"20",20,"Small Bear",6
"21",21,"Holiday Bonus",7
"22",22,"Backsideofthemoon",4
"23",23,"Hit It Once More",6
"24",24,"Roaming Union",8
"25",25,"Bronx Sandman",5
"26",26,"Carrera Cat",6
"27",27,"Gentle Annie",6
"28",28,"Passporttovictory",4
"29",29,"Miss Marion",5
"30",30,"Scorpion Bowl",5
"31",31,"Southern Fried Fun",5
"32",32,"Pinchbeck",6
"33",33,"Stone Breaker",3
"34",34,"Papa Jim",4
"35",35,"Dr. Lloyd",6
"36",36,"Dollarsforpennies",7
"37",37,"Simbasalltrouble",4
"38",38,"Straphanger",4
"39",39,"Lettercarrierhenry",4
"40",40,"Flat Calm",7
"41",41,"Timely Tradition",7
"42",42,"My Roxy Girl",7
"43",43,"Fair Regis",4
"44",44,"Baby Boss",7
"45",45,"Moondance Joy",6
"46",46,"Ribbonite",4
"47",47,"Mind Control",7
"48",48,"Our Braintrust",2
"49",49,"Family Biz",7
"50",50,"Gates of Dawn",8
"51",51,"Souper Jackpot",2
"52",52,"Direct Order",8
"53",53,"Alright Alright",3
"54",54,"For Pops",3
"55",55,"Bitumen",4
"56",56,"The Great Samurai",7
"57",57,"Samadi Sky",7
"58",58,"Dancetrack",7
"59",59,"Conquest Prankster",3
"60",60,"Crafty Concorde",3
"61",61,"Fifty Eight O G",7
"62",62,"Excess Capacity",6
"63",63,"Paynterbynumbers",6
"64",64,"Fancy That",6
"65",65,"She'll Do",3
"66",66,"Silk Assassin",3
"67",67,"Moon and Stars",3
"68",68,"Tikhvin Flew",4
"69",69,"Pulsate",7
"70",70,"Spun to Run",3
"71",71,"Classic Romeo",3
"72",72,"U R Not So Bad",3
"73",73,"Jake Rocks",7
"74",74,"Speed Khaleesi",3
"75",75,"Stay Good",3
"76",76,"Caitriona",3
"77",77,"Diamond Jen Brady",3
"78",78,"Somethingwithlilly",3
"79",79,"Aly's All Out",7
"80",80,"Regal Retort",6
"81",81,"Free Coffee",7
"82",82,"Dizzy",8
"83",83,"Whyisshesoolucky",6
"84",84,"Stay Smart",7
"85",85,"Irish Banker",6
"86",86,"Miss Allison",8
"87",87,"Turco Bravo (CHI)",7
"88",88,"Let Me Go First",8
"89",89,"Admiral Blue",7
"90",90,"Halloween Horror",7
"91",91,"Shamcat",4
"92",92,"Indian Guide",7
"93",93,"Outplay",3
"94",94,"Dublinthepleasure",3
"95",95,"Shalako",4
"96",96,"Toohottoevenspeak",4
"97",97,"Its All Relevant",4
"98",98,"E J's Legacy",5
"99",99,"Fifty",5
"100",100,"Gio d'Oro",4
"101",101,"Blugrascat's Smile",7
"102",102,"Storm Prophet",6
"103",103,"Cause I'm Alex",7
"104",104,"Papa Shot",7
"105",105,"Singapore Trader",7
"106",106,"Midnight Crossing",1
"107",107,"Mrs Vargas",3
"108",108,"Know Point Given",8
"109",109,"Frosty Linz",7
"110",110,"Flying Pleasantly",1
"111",111,"Way Over Budget",3
"112",112,"Big Expense",8
"113",113,"Needs No Ice",4
"114",114,"Promise Me Roses",8
"115",115,"Low Is Laine",6
"116",116,"Got the Gist",6
"117",117,"Reyana Reya Dreams",3
"118",118,"Youmakemeblush",3
"119",119,"Monteleone",7
"120",120,"Trustworthy",7
"121",121,"Unpredictable",6
"122",122,"Playwright",7
"123",123,"Expert",7
"124",124,"Stronger",3
"125",125,"Intoxicologist",3
"126",126,"Delta Gamma",4
"127",127,"Cornetta's Choice",3
"128",128,"Bee'snbee's",4
"129",129,"Winifred J",4
"130",130,"Sarah's Rainbow",4
"131",131,"Turn and Bern",4
"132",132,"Anne's Song",8
"133",133,"Bourbon High",7
"134",134,"Joule",4
"135",135,"Overtime Olivia",7
"136",136,"Dreamers and Me",3
"137",137,"Mrs. Orb",7
"138",138,"Sonic Force",8
"139",139,"Eye Luv Lulu",7
"140",140,"Almithmaar",7
"141",141,"Preservationist",1
"142",142,"Reed Kan",4
"143",143,"Still Krz",7
"144",144,"Angry Moon",7
"145",145,"Hushion",4
"146",146,"Castle Casanova",7
"147",147,"Top of the Mint",4
"148",148,"Smooth Tales",7
"149",149,"Jack Bo",6
"150",150,"Fleet Warrior",6
"151",151,"Big Browning",3
"152",152,"Therisastormbrewin",4
"153",153,"Pour It Out",5
"154",154,"Fully Vested",7
"155",155,"Wegotoldyougotsold",7
"156",156,"The Caretaker",7
"157",157,"Bon Raison",6
"158",158,"Redyornothereicome",7
"159",159,"Forced",3
"160",160,"Have Another",6
"161",161,"Kathryn the Wise",4
"162",162,"Playinwiththeboys",6
"163",163,"Pauseforthecause",7
"164",164,"Starlite Mission",4
"165",165,"Sunset Ridge",3
"166",166,"Palladian Bridge",7
"167",167,"Silly Sister",4
"168",168,"Byself",5
"169",169,"Never Nevermore",4
"170",170,"Raging Fire",6
"171",171,"Bobby G",3
"172",172,"Won't Be Missed",6
"173",173,"Storm Scat",3
"174",174,"Carmine's Honor",5
"175",175,"Rockin Jo",6
"176",176,"Double Deep",7
"177",177,"Rogue Nation",6
"178",178,"Dooley",6
"179",179,"Domain",7
"180",180,"Chateau",4
"181",181,"Ragnar Lothbrok",3
"182",182,"Latin Love Bug",1
"183",183,"Thefinalcrazydude",4
"184",184,"I Love Jaxson",6
"185",185,"Siena Magic",4
"186",186,"Shanghai Check",3
"187",187,"Racing Raven",7
"188",188,"Bold Gem",7
"189",189,"Alrahaal",7
"190",190,"Justinspeightofit",6
"191",191,"Twelfthofneverland",7
"192",192,"Durkin's Call",4
"193",193,"Success Hurricane",5
"194",194,"Letzgometz",8
"195",195,"Classic Czar",5
"196",196,"Oh K Funnybone",6
"197",197,"Poker Game",4
"198",198,"Awesome Adversary",4
"199",199,"Dash for Dollars",7
"200",200,"Tazmonian Devil",5
"201",201,"Shock Therapy",9
"202",202,"My Amanjena",4
"203",203,"Marble Moon",8
"204",204,"Sweet August Lady",7
"205",205,"Parlapiano",6
"206",206,"Zecha",7
"207",207,"Solitary Gem",4
"208",208,"Tayler's the Boss",7
"209",209,"Third Card Down",6
"210",210,"Fingerpaint",3
"211",211,"She'saprettylady",5
"212",212,"Quietude",6
"213",213,"My Best Friend",3
"214",214,"Stabilize",7
"215",215,"Shak's Hidden Gem",7
"216",216,"Diamond Princess",7
"217",217,"Mary's Girl",8
"218",218,"Fiery Opal",6
"219",219,"Speightful Kitten",4
"220",220,"Tribecca",8
"221",221,"Sicilia Mike",6
"222",222,"Horoscope",4
"223",223,"Playthatfunnymusic",4
"224",224,"Arthur's Hope",6
"225",225,"Retonova",5
"226",226,"Mascarello",3
"227",227,"New Year's Wish",7
"228",228,"Smiles From Sadie",7
"229",229,"Madame Barbarian",6
"230",230,"She'sakittykat",6
"231",231,"My Girl Annie",7
"232",232,"Hexameter",7
"233",233,"Battle of Saratoga",7
"234",234,"Golconda",6
"235",235,"Killala Bay",7
"236",236,"Scrutinize",4
"237",237,"Run for Boston",6
"238",238,"Call the Cat",7
"239",239,"Well in Tune",4
"240",240,"Pragmatist",5
"241",241,"Shiloh Lane",6
"242",242,"The Venerable Bede",5
"243",243,"Linns Boy",4
"244",244,"Mintz",6
"245",245,"Master Distiller",3
"246",246,"Iona Mobe",3
"247",247,"Into a Hot Spot",7
"248",248,"Starry Rose",7
"249",249,"Getyourmindright",5
"250",250,"Science Fiction",6
"251",251,"Free Kitty",7
"252",252,"Forever Daisy",6
"253",253,"Party in the Sand",6
"254",254,"Alley to Calvary",4
"255",255,"Sweet Like Char",5
"256",256,"Kingdom's Queen",4
"257",257,"Lady Hester",3
"258",258,"War of the States",3
"259",259,"Communal",5
"260",260,"Taking Aim",5
"261",261,"Cookie Crisp",5
"262",262,"Purchasing Power",7
"263",263,"Never Before",6
"264",264,"Curlin's New Moon",6
"265",265,"Inalienable Rights",6
"266",266,"Change of Venue",6
"267",267,"Flush",7
"268",268,"Awillaway",6
"269",269,"Wall Street Annie",3
"270",270,"Alvernia",4
"271",271,"True Prosperity",6
"272",272,"Tripp Road",5
"273",273,"Daria's Angel",7
"274",274,"Stay Fond",4
"275",275,"Not About the Nail",6
"276",276,"Harkness",7
"277",277,"Ipanema Beach",5
"278",278,"Countable",7
"279",279,"Wadadli Princess",7
"280",280,"Anydayisherday",8
"281",281,"Cheatham Hill",1
"282",282,"Centrall",7
"283",283,"Sander's Empire",4
"284",284,"Bavaro",4
"285",285,"Sol the Freud",7
"286",286,"Gypsum Johnny",6
"287",287,"Proletariat",5
"288",288,"H Man",6
"289",289,"Haudenosaunee",3
"290",290,"Blue Pigeon",7
"291",291,"Rectify",3
"292",292,"Charlie McCoy",6
"293",293,"Mystical Song",7
"294",294,"Ready to Escape",4
"295",295,"Ro Bear",6
"296",296,"Three to Thirteen",7
"297",297,"Vicar's Legend",6
"298",298,"Swivel",6
"299",299,"Foolish Ghost",6
"300",300,"Quest for Fire",6
"301",301,"Dark Ops",5
"302",302,"Missbigtimes",3
"303",303,"Wanna Be Regal",6
"304",304,"Highleelikelee",4
"305",305,"Ma Mo",6
