"","incident_type","racing_type","horse_id","race_id","track_id"
"1","EQUINE DEATH","Racing","Anne's Song","05/24/2019","BEL"
"2","RACING INCIDENT","Racing","Aquariva","10/03/2019","BEL"
"3","EQUINE DEATH","Other","Catpsalm","01/29/2019","BEL"
"4","EQUINE DEATH","Training","Chronos","02/04/2019","BEL"
"5","RACING INCIDENT","Racing","Clyde's Image","06/16/2019","BEL"
"6","EQUINE DEATH","Training","COFFEE CRUSH","09/19/2019","BEL"
"7","EQUINE DEATH","Training","Darken a Day","11/11/2019","BEL"
"8","EQUINE DEATH","Racing","Deft","09/12/2019","BEL"
"9","RACING INCIDENT","Racing","Demarchelier (GB)","07/06/2019","BEL"
"10","EQUINE DEATH","Training","Dino Three O Nine","12/09/2019","BEL"
"11","EQUINE DEATH","Other","Doyouknowsomething","01/08/2019","BEL"
"12","RACING INCIDENT","Racing","DREAMZAPPER","10/24/2019","BEL"
"13","EQUINE DEATH","Other","E Z for You to Say","10/10/2019","BEL"
"14","RACING INCIDENT","Racing","Equal the Score","06/16/2019","BEL"
"15","EQUINE DEATH","Racing","Fancy Persuasion","06/30/2019","BEL"
"16","EQUINE DEATH","Training","For Pops","02/26/2019","BEL"
"17","RACING INCIDENT","Racing","Funnypointofview","09/22/2019","BEL"
"18","EQUINE DEATH","Training","GIO GAME (KY)","12/06/2019","BEL"
"19","EQUINE DEATH","Other","Goneonamission","11/24/2019","BEL"
"20","RACING INCIDENT","Racing","Haloween Horror","09/25/2019","BEL"
"21","EQUINE DEATH","Other","Have Another","09/20/2019","BEL"
"22","EQUINE DEATH","Other","I SWEAR I'LL BEHAVE (FL)","12/21/2019","BEL"
"23","RACING INCIDENT","Racing","Imperioso","09/13/2019","BEL"
"24","EQUINE DEATH","Racing","Inflection","06/09/2019","BEL"
"25","EQUINE DEATH","Training","Kid Robin hood","11/02/2019","BEL"
"26","EQUINE DEATH","Training","La Fuerza","07/27/2019","BEL"
"27","EQUINE DEATH","Training","La Manche","04/11/2019","BEL"
"28","RACING INCIDENT","Racing","Lion Dance","06/29/2019","BEL"
"29","EQUINE DEATH","Other","LONG HAUL BAY","11/21/2019","BEL"
"30","RACING INCIDENT","Racing","LUTSKY","09/14/2019","BEL"
"31","EQUINE DEATH","Training","Luz Mimi","04/04/2019","BEL"
"32","RACING INCIDENT","Racing","MARU","09/14/2019","BEL"
"33","EQUINE DEATH","Racing","Meet Me in L A","09/21/2019","BEL"
"34","EQUINE DEATH","Other","Mighty Zealous","03/10/2019","BEL"
"35","EQUINE DEATH","Training","MISS MARILYN","03/23/2019","BEL"
"36","EQUINE DEATH","Training","Miss Marion","02/03/2019","BEL"
"37","EQUINE DEATH","Training","Miss Mimosa","03/28/2019","BEL"
"38","EQUINE DEATH","Training","Mo Fun","10/14/2019","BEL"
"39","EQUINE DEATH","Training","Mo Moxie","09/07/2019","BEL"
"40","RACING INCIDENT","Racing","Munchkin Money","09/22/2019","BEL"
"41","RACING INCIDENT","Racing","Mythajacul","05/16/2019","BEL"
"42","RACING INCIDENT","Racing","Native Dawn","10/26/2019","BEL"
"43","RACING INCIDENT","Racing","Newly Minted","10/19/2019","BEL"
"44","RACING INCIDENT","Racing","Nicodemus","07/06/2019","BEL"
"45","EQUINE DEATH","Racing","Noble Cause","05/11/2019","BEL"
"46","RACING INCIDENT","Racing","One River Place","10/23/2019","BEL"
"47","EQUINE DEATH","Other","OUTSIDE INFLUENCE","12/21/2019","BEL"
"48","RACING INCIDENT","Racing","Parlapiano","06/15/2019","BEL"
"49","EQUINE DEATH","Racing","Passporttovictory","09/06/2019","BEL"
"50","RACING INCIDENT","Racing","Peculiar Sensation","06/14/2019","BEL"
"51","EQUINE DEATH","Training","Pretty Enuff","04/01/2019","BEL"
"52","EQUINE DEATH","Other","QUEEN BODE","03/03/2019","BEL"
"53","EQUINE DEATH","Training","Queen of Umaill","03/09/2019","BEL"
"54","EQUINE DEATH","Racing","Rhode Island","09/14/2019","BEL"
"55","EQUINE DEATH","Training","Riot Worthy","12/16/2019","BEL"
"56","EQUINE DEATH","Other","Ro Bear","06/16/2019","BEL"
"57","EQUINE DEATH","Training","Royal Inheritance","09/06/2019","BEL"
"58","EQUINE DEATH","Other","SEAHORSE RED","04/13/2019","BEL"
"59","EQUINE DEATH","Training","Silence Dogwood 17","07/11/2019","BEL"
"60","RACING INCIDENT","Racing","Simmering Miss","09/21/2019","BEL"
"61","EQUINE DEATH","Other","SOLAR FIRE","12/29/2019","BEL"
