horse_id,age_year,n_races,age_year_factor,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid
24,4,14,4,1.6747274323103287,1.7194471418850237,3.602756470092992e-4,1.005176145801994,9.650577185271284e-4,1.7197569630690785
49,4,14,4,1.6747274323103287,1.7194471418850237,3.602756470092992e-4,1.005176145801994,9.650577185271284e-4,1.7197569630690785
49,3,17,3,1.614427050299647,2.2868811238948488,5.126706404731272e-4,1.0047695928570775,0.0028930428553874585,2.2874675577953036
62,3,14,3,1.614427050299647,1.8355323075733156,5.126706404731272e-4,1.0051022899099964,0.0016250717581877349,1.836003000325682
83,3,14,3,1.614427050299647,1.8355323075733156,5.126706404731272e-4,1.0051022899099964,0.0016250717581877349,1.836003000325682
83,4,16,4,1.6747274323103287,2.020189335922169,3.602756470092992e-4,1.0049751058937086,0.0014621161545305837,2.020553346793352
84,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
96,8,17,8,1.9159289603530558,1.6753878542055787,0.0036940697636746412,1.005201201165974,0.00929529178357527,1.6784909539646333
97,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
142,6,1,6,1.7953281963316923,-1.747761461523732,0.0011898270413294807,1.0051581452479066,8.809121391467805e-4,-1.7488021572261419
149,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
150,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
157,4,17,4,1.6747274323103287,2.162590806239087,3.602756470092992e-4,1.0048686169585763,0.0017492262429491484,2.162980475934592
184,5,16,5,1.7350278143210105,1.8994680285754588,5.77664257671458e-4,1.005059554963307,0.001996033566565762,1.9000168937761148
185,6,1,6,1.7953281963316923,-1.747761461523732,0.0011898270413294807,1.0051581452479066,8.809121391467805e-4,-1.7488021572261419
192,4,17,4,1.6747274323103287,2.162590806239087,3.602756470092992e-4,1.0048686169585763,0.0017492262429491484,2.162980475934592
202,3,17,3,1.614427050299647,2.2868811238948488,5.126706404731272e-4,1.0047695928570775,0.0028930428553874585,2.2874675577953036
206,5,17,5,1.7350278143210105,2.039251169107414,5.77664257671458e-4,1.0049611105650076,0.0024011551936445772,2.0398404256704525
206,4,22,4,1.6747274323103287,2.8118676753697596,3.602756470092992e-4,1.004290988520359,0.003570585389210346,2.8123743360000093
