horse_id,horse_name,n_races_tracked_2019,n_races_2019,n_races_2020,n_races_2021,n_races_diff_2019,avg_race_dist_meters,avg_finishing_place,avg_ranking,avg_acceleration,avg_speed,avg_weight_carried,n_dnf,date_dnf_1,date_dnf_2,avg_total_race_strain,min_days_between_races,first_quartile_days_between_races,median_days_between_races,third_quartile_days_between_races,max_days_between_races,injury_track,injury_location,injury_surface_location,injury_details_reported,days_off_pre_injury,days_injury_to_race,injury_date,last_race_pre_injury,fatal,race_length_injury_meters,n_injury_type,injury_track_location_clean,if_injury_reported,dnf_from_injury,under_raced_2019,under_raced_2020,under_raced_2021,ever_under_raced
1,Sounds Delicious,2,NA,NA,NA,NA,1257.3000000000002,2.5,5.5,2.270412887856348,5.08843240336621,121.5,0,NA,NA,-786.7268476742163,74,74,74,74,74,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
2,Crimson Frost,8,NA,NA,NA,NA,1647.063,3.5,4,1.7840498522516985,6.015092950087906,121,1,2019-11-02,NA,-1189.9287640646337,7,20,26,45,142,Aqueduct,Racing,Main Track,Fell,35,127,2019-11-02,2019-09-28,No,1810.5075,1,Backstretch,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
3,Friend of Liberty,3,NA,NA,NA,NA,1240.536,3.6666666666666665,2.6666666666666665,2.008463586975668,5.298896220072663,120.66666666666667,0,NA,NA,-751.1152628681681,31,52.75,74.5,96.25,118,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
4,Bobby's Song,1,NA,NA,NA,NA,1307.592,5,1,0.8923074788539989,2.7464789800366325,123,0,NA,NA,-648.8417768442715,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
5,Bourbon N Rye,6,NA,NA,NA,NA,1223.772,6,5.166666666666667,2.4797699986391804,2.782002981898578,120.83333333333333,0,NA,NA,-1662.6063382101202,22,27,33,47,225,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
6,Bourbon Did It,6,NA,NA,NA,NA,1257.3,3.6666666666666665,4.833333333333333,2.238972572990196,4.347874193418531,123.33333333333333,0,NA,NA,-1186.837978920879,21,26,31,34,51,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
7,Tenency,3,NA,NA,NA,NA,1207.008,5.666666666666667,6,2.642952721742481,3.4451590649688186,123,0,NA,NA,-958.2261924877052,31,42.25,53.5,64.75,76,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
8,Legion Storm,12,NA,NA,NA,NA,1458.468,3.4166666666666665,5,2.042717480151088,5.518658712448107,123.5,0,NA,NA,-1628.3669289300644,7,22.5,31,38,72,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
9,Frost's Song,1,NA,NA,NA,NA,1207.008,5,3,2.0156711676875148,6.644113717590026,123,0,NA,NA,-1174.0268864282527,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
10,Kavansberg,3,NA,NA,NA,NA,1475.232,6.666666666666667,6.666666666666667,2.0545042069954245,4.897554140800768,118.33333333333333,0,NA,NA,-1651.7912089860472,11,16.75,22.5,28.25,34,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
11,Tammany Giant,2,NA,NA,NA,NA,1207.008,7.5,7,1.9872128686804815,7.609293512309009,115.5,0,NA,NA,-868.9587447029542,123,123,123,123,123,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
12,Call It a Truce,1,NA,NA,NA,NA,1106.424,1,5,1.991036589905744,2.4408165763139182,113,0,NA,NA,-1232.820635838712,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
13,Annette's Humor,8,NA,NA,NA,NA,1169.289,4,4.25,2.0674604326367936,4.580944950411704,120.125,0,NA,NA,-1286.9756873726114,19,23,26,40.5,81,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
14,Rose of Dublin,8,NA,NA,NA,NA,1257.3,3.75,5.625,1.8671193490045652,7.0657916918963615,119.375,0,NA,NA,-1194.3144089437926,13,21,27,31.5,39,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
15,Caralicious,15,NA,NA,NA,NA,1327.7088,4.666666666666667,3.6153846153846154,1.941234955123518,4.244083843910052,118.33333333333333,0,NA,NA,-1074.2628527115423,4,14.5,20.5,26.75,67,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
16,Big Brown Cat,5,NA,NA,NA,NA,1146.6576,2.8,3.4,2.051574260001021,5.628553257218589,114.6,0,NA,NA,-1598.2752456728158,19,19,22.5,32.25,51,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
17,Dontcallmefrancis,3,NA,NA,NA,NA,1274.064,7,8.333333333333334,2.367462597767237,5.379072033924542,114,0,NA,NA,-1219.7805988683976,22,57,92,127,162,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
18,Ladyberg,3,NA,NA,NA,NA,1173.48,5.666666666666667,4.333333333333333,1.4921005334224893,3.140837300940072,120.66666666666667,0,NA,NA,-1530.7519733670224,11,20.5,30,39.5,49,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
19,T J's Rose Ella,4,NA,NA,NA,NA,1232.154,7.5,4.75,2.159897693555708,4.5915303344321305,120.5,0,NA,NA,-2024.046176162664,19,19.5,20,20.5,21,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
20,Small Bear,2,NA,NA,NA,NA,1760.22,3.5,3,2.073939901782134,7.027369632599177,121,0,NA,NA,-2277.3686680956857,275,275,275,275,275,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
21,Holiday Bonus,11,NA,NA,NA,NA,1783.08,5.2727272727272725,4.2727272727272725,1.9441843740793288,4.615912534942313,121.18181818181819,0,NA,NA,-1233.9059278903983,11,16.25,23,25.75,93,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
22,Backsideofthemoon,9,11,14,14,2,1676.4,3.4444444444444446,3.4444444444444446,2.0402024616324534,5.08755998206348,121.66666666666667,0,NA,NA,-1353.496448694039,21,30,41,54.25,84,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,TRUE,FALSE,TRUE
23,Hit It Once More,7,NA,NA,NA,NA,1695.558857142857,4,2.4285714285714284,2.226857581000947,4.997610322569692,120.57142857142857,0,NA,NA,-1386.1967766813425,8,21.5,24.5,32.75,37,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
24,Roaming Union,9,13,7,8,4,1810.512,3.2222222222222223,3.3333333333333335,2.2433792640455916,5.924468242117548,121.44444444444444,0,NA,NA,-818.2526746963713,26,31.5,42,51.25,79,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,TRUE,FALSE,TRUE,TRUE
