horse_id,horse_name,n_races_tracked_2019,n_races_2019,n_races_2020,n_races_2021,n_races_diff_2019,avg_race_dist_meters,avg_finishing_place,avg_ranking,avg_acceleration,avg_speed,avg_weight_carried,n_dnf,date_dnf_1,date_dnf_2,avg_total_race_strain,min_days_between_races,first_quartile_days_between_races,median_days_between_races,third_quartile_days_between_races,max_days_between_races,injury_track,injury_location,injury_surface_location,injury_details_reported,days_off_pre_injury,days_injury_to_race,injury_date,last_race_pre_injury,fatal,race_length_injury_meters,n_injury_type,injury_track_location_clean,if_injury_reported,dnf_from_injury
4638,Jc's Shooting Star,10,NA,NA,NA,NA,1277.4168,4.4,4.25,2.091230955004503,4.893013468478173,120,0,NA,NA,49.435077782134734,9,19,27,36,146,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
1,Sounds Delicious,2,NA,NA,NA,NA,1257.3000000000002,2.5,5.5,2.2704128878563377,5.08843240336621,121.5,0,NA,NA,NA,74,74,74,74,74,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
2,Crimson Frost,8,NA,NA,NA,NA,1647.063,3.5,4,1.7840498522516985,6.015092950087906,121,1,2019-11-02,NA,26.337416987488055,7,20,26,45,142,Aqueduct,Racing,Main Track,Fell,35,127,2019-11-02,2019-09-28,No,1810.5075,1,Backstretch,TRUE,TRUE
3,Friend of Liberty,3,NA,NA,NA,NA,1240.536,3.6666666666666665,2.6666666666666665,2.008463586975668,5.298896220072663,120.66666666666667,0,NA,NA,NA,31,52.75,74.5,96.25,118,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
4,Bobby's Song,1,NA,NA,NA,NA,1307.592,5,1,0.8923074788540195,2.7464789800366325,123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
5,Bourbon N Rye,6,NA,NA,NA,NA,1223.772,6,5.166666666666667,2.4797699986391746,2.7820029818985854,120.83333333333333,0,NA,NA,NA,22,27,33,47,225,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
6,Bourbon Did It,6,NA,NA,NA,NA,1257.3,3.6666666666666665,4.833333333333333,2.238972572990193,4.347874193418539,123.33333333333333,0,NA,NA,NA,21,26,31,34,51,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
7,Tenency,3,NA,NA,NA,NA,1207.008,5.666666666666667,6,2.6429527217425,3.4451590649688035,123,0,NA,NA,NA,31,42.25,53.5,64.75,76,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
8,Legion Storm,12,NA,NA,NA,NA,1458.468,3.4166666666666665,5,2.042717480151088,5.518658712448107,123.5,0,NA,NA,30.957608587981703,7,22.5,31,38,72,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
9,Frost's Song,1,NA,NA,NA,NA,1207.008,5,3,2.0156711676875148,6.644113717590026,123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
10,Kavansberg,3,NA,NA,NA,NA,1475.232,6.666666666666667,6.666666666666667,2.054504206995424,4.897554140800769,118.33333333333333,0,NA,NA,58.220380937287814,11,16.75,22.5,28.25,34,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
11,Tammany Giant,2,NA,NA,NA,NA,1207.008,7.5,7,1.9872128686804815,7.609293512309009,115.5,0,NA,NA,NA,123,123,123,123,123,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
12,Call It a Truce,1,NA,NA,NA,NA,1106.424,1,5,1.9910365899056717,2.440816576314009,113,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
13,Annette's Humor,8,NA,NA,NA,NA,1169.289,4,4.25,2.067460432636798,4.580944950411698,120.125,0,NA,NA,NA,19,23,26,40.5,81,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
14,Rose of Dublin,8,NA,NA,NA,NA,1257.3,3.75,5.625,1.8671193490045659,7.065791691896367,119.375,0,NA,NA,40.218026276648864,13,21,27,31.5,39,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
15,Caralicious,15,NA,NA,NA,NA,1327.7088,4.666666666666667,3.6153846153846154,1.9412349551235182,4.244083843910051,118.33333333333333,0,NA,NA,30.44135170240508,4,14.5,20.5,26.75,67,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
16,Big Brown Cat,5,NA,NA,NA,NA,1146.6576,2.8,3.4,2.051574260001021,5.628553257218589,114.6,0,NA,NA,NA,19,19,22.5,32.25,51,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
17,Dontcallmefrancis,3,NA,NA,NA,NA,1274.064,7,8.333333333333334,2.367462597767237,5.379072033924542,114,0,NA,NA,NA,22,57,92,127,162,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
